attackerX,attackerY,victimSide,victimX,victimY
1385.32299804688,1851.65478515625,T,1259.78723144531,1182.9892578125
1296.00329589844,2438.93920898438,T,390.785400390625,2298.43334960938
1296.00329589844,2438.93920898438,T,411.528869628906,2316.95776367188
1296.00329589844,2438.93920898438,T,368.648406982422,2366.69750976562
-1833.52783203125,2722.87963867188,T,-1968.74096679688,1736.71728515625
308.650299072266,1857.44836425781,T,1284.21887207031,2792.27075195312
419.121337890625,2403.0322265625,T,1420.16882324219,2668.82495117188
418.688110351562,2400.5927734375,T,1415.62329101562,2685.767578125
371.248474121094,1646.4990234375,T,-514.143920898438,1030.62536621094
-1416.9267578125,2123.66186523438,T,-2112.51782226562,1829.01342773438
106.735275268555,2097.6826171875,T,-2021.01733398438,2271.82397460938
109.907249450684,2115.39721679688,T,-1520.49401855469,2231.43090820312
-1182.4248046875,2638.71704101562,T,-1387.50256347656,2726.44482421875
-1177.5712890625,2653.8583984375,T,-1395.54382324219,2710.7900390625
-1129.060546875,2182.80029296875,T,-1903.94555664062,2325.13842773438
-401.652160644531,1816.36254882812,T,-409.335998535156,1479.4404296875
-770.728210449219,2126.90283203125,T,1427.9541015625,2079.34912109375
-684.900512695312,2359.75537109375,T,-399.624603271484,1842.90087890625
-291.0078125,2218.58740234375,T,-485.221069335938,2092.92602539062
-303.872161865234,2232.26977539062,T,-490.315826416016,2098.267578125
-313.915161132812,2243.72094726562,T,-494.036193847656,2102.66918945312
-312.347106933594,2240.02807617188,T,-500.324798583984,2114.48168945312
-1197.56127929688,2067.0048828125,T,-1009.66674804688,2365.09887695312
-1197.56127929688,2067.0048828125,T,-1015.48352050781,2368.85986328125
-1197.56127929688,2067.0048828125,T,-1019.30157470703,2370.53540039062
-372.479278564453,2258.62646484375,T,-546.825134277344,1917.42321777344
-371.378143310547,2258.14013671875,T,-552.921508789062,1920.69287109375
-368.048248291016,2256.373046875,T,-559.692443847656,1924.14782714844
-367.7216796875,2256.21020507812,T,-554.995849609375,1921.46142578125
-614.663269042969,2422.73071289062,T,-499.727172851562,1735.13073730469
-1936.67687988281,1312.56787109375,T,-1959.53552246094,1788.37744140625
-1928.45983886719,1313.49377441406,T,-1956.26525878906,1783.47973632812
-1915.884765625,1314.52783203125,T,-1956.25427246094,1781.64904785156
