attackerX,attackerY,victimSide,victimX,victimY
-1746.70202636719,410.122619628906,T,-1688.89294433594,-505.868011474609
-1766.95532226562,424.951507568359,T,-1688.89294433594,-505.868011474609
-1789.51245117188,436.326873779297,T,-1702.10864257812,-505.868011474609
-1981.48596191406,417.706176757812,T,-1455.27893066406,-487.890625
-1981.48596191406,417.706176757812,T,-1752.98168945312,-502.694427490234
-1718.1982421875,135.849655151367,T,-1661.51501464844,-78.0395050048828
-1718.3388671875,135.821228027344,T,-1655.04528808594,-77.4158782958984
-1715.4189453125,136.558074951172,T,-1650.36401367188,-76.479133605957
-2019.63891601562,377.527221679688,T,-1508.00170898438,-361.079193115234
-2021.76989746094,369.534759521484,T,-1511.20349121094,-364.842468261719
-2463.216796875,222.804229736328,T,-2040.78747558594,78.9719848632812
-2463.54711914062,223.108917236328,T,-2040.85327148438,77.9420394897461
-2465.2109375,218.658142089844,T,-2040.24157714844,79.8823623657227
-2465.9443359375,216.715133666992,T,-2042.4814453125,78.5127639770508
-2464.75073242188,220.136962890625,T,-2045.33203125,77.297248840332
-2464.36694335938,221.236877441406,T,-2046.115234375,79.8572540283203
-1028.185546875,-686.674743652344,T,-923.436218261719,-1421.37609863281
-1028.16259765625,-686.672546386719,T,-929.229187011719,-1422.47863769531
-1029.03503417969,-686.831176757812,T,-934.559631347656,-1422.97583007812
-1029.03503417969,-686.831176757812,T,-931.417602539062,-1422.55615234375
-1029.03503417969,-686.831176757812,T,-929.424926757812,-1422.29016113281
-1917.07995605469,353.395690917969,T,-1546.70446777344,-340.550415039062
-2007.87194824219,415.476013183594,T,-1541.94738769531,-337.835327148438
-447.131195068359,-505.049713134766,T,-782.449951171875,-779.358520507812
-447.335021972656,-504.789764404297,T,-782.563720703125,-779.389404296875
-445.259918212891,-507.462585449219,T,-783.108337402344,-779.520385742188
-445.303741455078,-507.372375488281,T,-786.034362792969,-779.983642578125
-445.152526855469,-507.569274902344,T,-783.021301269531,-779.985290527344
-1055.67272949219,-704.62353515625,T,-455.445098876953,-1131.57189941406
-1055.67272949219,-704.62353515625,T,-456.577117919922,-1128.5283203125
-1055.67272949219,-704.62353515625,T,-457.465789794922,-1125.89794921875
-1055.67272949219,-704.62353515625,T,-458.042388916016,-1122.94592285156
-762.708190917969,-291.600921630859,CT,-141.422729492188,-721.271423339844
-723.163330078125,-283.184387207031,CT,-120.41625213623,-752.929077148438
-114.137321472168,-760.968383789062,T,-531.286315917969,-1294.98962402344
-632.561950683594,-267.003265380859,CT,-117.277435302734,-759.975952148438
-585.536254882812,-258.226928710938,CT,-118.564094543457,-739.408935546875
-536.14697265625,-252.176010131836,CT,-122.64998626709,-703.679138183594
-491.170501708984,-240.833862304688,CT,-139.678359985352,-662.453186035156
-408.409942626953,-499.766052246094,T,-355.384582519531,-1157.41674804688
-409.014251708984,-500.465881347656,T,-355.384582519531,-1157.41674804688
-420.049102783203,-512.993347167969,T,-410.192291259766,-1136.0009765625
-420.049102783203,-512.993347167969,T,-553.039123535156,-1136.7744140625
-127.639839172363,-442.975250244141,T,-574.497680664062,-1136.02685546875
-139.097122192383,-441.476867675781,T,-613.847961425781,-1140.4755859375
-132.822723388672,-454.706939697266,T,-612.278137207031,-1140.263671875
-102.348098754883,-472.923614501953,T,-634.057922363281,-1143.18103027344
-881.73876953125,-175.036331176758,T,-675.074584960938,-1460.86169433594
-872.886047363281,-182.336380004883,T,-683.684692382812,-1462.33227539062
-877.062866210938,-193.687789916992,T,-668.454528808594,-1050.34692382812
-877.874755859375,-193.715270996094,T,-665.361694335938,-1045.74829101562
-26.2878818511963,-594.407836914062,T,-688.805297851562,-1463.14965820312
-26.2878818511963,-594.407836914062,T,-689.818969726562,-1463.2998046875
-899.860168457031,-198.948348999023,T,-661.057495117188,-1033.61975097656
-663.397827148438,-785.448608398438,T,-593.448303222656,-1090.11791992188
-650.944458007812,-796.473754882812,T,-584.398193359375,-1088.06921386719
-486.199920654297,-1065.54418945312,CT,-342.058319091797,-1214.99963378906
-598.638488769531,-1093.29443359375,T,-1032.85241699219,-300.066925048828
-599.238830566406,-1090.83337402344,T,-1038.07238769531,-284.689605712891
-1776.02001953125,83.6880874633789,T,-1336.91638183594,-271.922424316406
-1007.99450683594,-538.000793457031,T,-656.055053710938,-528.296875
-1007.99450683594,-538.000793457031,T,-656.047241210938,-529.623046875
-190.309768676758,-309.174530029297,T,-482.118530273438,-1424.97180175781
-109.743911743164,112.601699829102,T,-486.299530029297,-1423.82043457031
-882.111328125,-595.0322265625,T,-704.096435546875,-531.556945800781
