attackerX,attackerY,victimSide,victimX,victimY
-423.8212890625,-121.338569641113,CT,364.247467041016,-380.329925537109
-2802.6083984375,369.726898193359,CT,-3047.54736328125,602.856323242188
-3039.06811523438,371.597564697266,CT,-3125.79345703125,603.714050292969
-3016.63012695312,380.286987304688,CT,-3141.21435546875,596.005737304688
-2737.68115234375,546.270202636719,CT,-2967.95556640625,429.363952636719
-2730.44799804688,531.785400390625,CT,-2948.58154296875,423.135070800781
-2725.8583984375,522.444946289062,CT,-2943.18017578125,420.769897460938
248.997482299805,-190.865112304688,CT,402.853332519531,-321.222229003906
257.587127685547,-180.716232299805,CT,400.421813964844,-324.38623046875
249.530578613281,-227.993789672852,T,308.661926269531,-255.214630126953
289.686553955078,-269.898071289062,CT,442.727294921875,-291.03125
732.393981933594,-720.816101074219,CT,-902.438293457031,-930.747436523438
621.827209472656,-936.304870605469,CT,-179.871368408203,-729.296752929688
257.218048095703,-1074.177734375,CT,-399.821716308594,-582.252380371094
-2197.88818359375,1984.51428222656,CT,-2385.2783203125,249.498626708984
-824.840148925781,-659.422729492188,CT,-459.401184082031,-682.633422851562
-821.486511230469,-634.2236328125,CT,-458.780212402344,-662.185729980469
-818.270690917969,-659.897705078125,CT,-460.001403808594,-682.644775390625
-814.055358886719,-645.798400878906,CT,-460.632171630859,-690.022399902344
-2479.34228515625,-529.028686523438,CT,-2033.20520019531,-777.104309082031
-2479.11303710938,-529.12890625,CT,-2043.77575683594,-787.576293945312
-2479.11303710938,-529.12890625,CT,-2072.81665039062,-823.125
-2479.11303710938,-529.12890625,CT,-1896.88928222656,-1576.37463378906
-2396.8046875,1487.51342773438,CT,-2849.87939453125,651.117248535156
-2425.02563476562,1502.69323730469,CT,-2844.63598632812,654.385559082031
-2603.10327148438,1448.47119140625,CT,-2820.041015625,431.232543945312
-2585.51879882812,1444.96655273438,CT,-2841.40185546875,436.037963867188
-2584.60424804688,1237.24645996094,CT,-2853.96606445312,438.876647949219
-2828.197265625,-579.91015625,CT,-2852.07250976562,-1168.76293945312
-2692.03271484375,-622.162780761719,CT,-2624.53515625,-804.061828613281
-2650.44921875,-610.520080566406,CT,-2666.64404296875,-832.190002441406
-635.963623046875,-157.619171142578,CT,661.980773925781,21.9750671386719
-635.963623046875,-157.619171142578,CT,662.001770019531,21.9961242675781
-621.98779296875,-159.389144897461,CT,662.001770019531,21.9961242675781
-583.707885742188,-163.549926757812,CT,662.023986816406,21.9738693237305
-544.525390625,-167.276016235352,CT,662.02099609375,21.9768466949463
-497.694366455078,-171.612350463867,CT,665.429870605469,17.694019317627
170.143417358398,-407.446044921875,CT,667.157592773438,15.0516948699951
170.394012451172,-406.707458496094,CT,665.865966796875,9.55555248260498
-455.199737548828,-175.553924560547,CT,662.974731445312,7.34036350250244
-811.361755371094,-751.159118652344,CT,-448.000915527344,-703.96875
-812.826599121094,-744.464477539062,CT,-448.000915527344,-703.96875
-816.116455078125,-723.598388671875,CT,-448.000915527344,-703.968994140625
-1014.42999267578,-920.342590332031,CT,-656.378234863281,-918.918395996094
-1005.82153320312,-917.860412597656,CT,-653.672302246094,-929.744567871094
-1004.64904785156,-915.720336914062,CT,-653.771179199219,-929.614685058594
-1004.64904785156,-915.720336914062,CT,-654.361389160156,-927.534484863281
154.153350830078,-1162.77282714844,CT,-567.606689453125,-782.520263671875
-3235.57421875,-328.969696044922,CT,-3109.068359375,-618.95361328125
-2287.478515625,-146.817306518555,CT,-2392.84204101562,-95.0356750488281
-3316.23583984375,-293.580474853516,CT,-2972.15356445312,-674.635559082031
-2157.30908203125,-31.6541938781738,CT,-2365.48901367188,-236.349166870117
-1991.56762695312,-690.929931640625,CT,-2903.69018554688,-1110.26916503906
-2022.14807128906,-952.436767578125,CT,-1907.26586914062,-963.322631835938
330.951873779297,-837.106567382812,CT,-243.296234130859,-979.87744140625
