attackerX,attackerY,victimSide,victimX,victimY
-1253.17248535156,-968.144592285156,CT,-1290.01208496094,-530.541625976562
-1277.76245117188,-971.515563964844,CT,-1296.06518554688,-531.786926269531
-1246.03588867188,-970.544921875,CT,-1210.80004882812,-613.213806152344
-1230.84838867188,-971.737426757812,CT,-1198.26062011719,-614.511413574219
-643.582214355469,-64.5322341918945,CT,-1001.87872314453,382.877807617188
-767.898986816406,-84.433235168457,CT,-903.116455078125,482.983856201172
-1163.58666992188,-79.674201965332,CT,-871.545837402344,383.668731689453
-1147.01538085938,-84.0145721435547,CT,-856.796691894531,392.621154785156
-658.5625,57.3876647949219,CT,-1796.35314941406,554.523010253906
-1759.99792480469,-768.08203125,CT,-1706.30493164062,-842.776123046875
-1434.74731445312,-759.414184570312,CT,-1815.62158203125,-949.212585449219
-1448.33264160156,-714.764587402344,CT,-1810.45959472656,-952.072387695312
-575.631408691406,-154.467147827148,CT,-751.516845703125,-33.1046447753906
-3526.298828125,-772.030517578125,CT,-3330.49658203125,-916.964233398438
-3526.47827148438,-772.274963378906,CT,-3333.53076171875,-937.253723144531
-3526.5498046875,-772.338684082031,CT,-3336.56494140625,-957.543212890625
-3524.24267578125,-769.993225097656,CT,-3351.7861328125,-975.96875
-3461.73120117188,-745.0625,CT,-2867.04931640625,-975.672302246094
-3122.05029296875,-1568.6904296875,CT,-2345.5791015625,-516.5185546875
-1785.96752929688,-1239.16479492188,CT,-1716.54724121094,-860.672729492188
-1785.96752929688,-1239.16479492188,CT,-1723.14770507812,-861.519775390625
-2307.70751953125,-632.751342773438,CT,-2401.71704101562,-1351.69128417969
-2307.09619140625,-632.827941894531,CT,-2399.888671875,-1351.94018554688
-2262.09716796875,-599.626403808594,CT,-2330.14990234375,-1218.65930175781
-2263.01416015625,-600.114074707031,CT,-2331.2744140625,-1218.00891113281
-2258.0859375,-600.742431640625,CT,-2333.1025390625,-1217.75415039062
-2258.3271484375,-600.724670410156,CT,-2335.248046875,-1217.50659179688
-2658.91821289062,-987.267211914062,CT,-2527.39184570312,-1355.31225585938
-2654.65209960938,-985.985717773438,CT,-2534.48315429688,-1357.56958007812
-2645.529296875,-983.312683105469,CT,-2548.26049804688,-1361.22351074219
-2644.07202148438,-982.881591796875,CT,-2548.52465820312,-1361.42407226562
-2616.43798828125,-1077.75219726562,CT,-2197.31811523438,-1323.40625
-881.662170410156,-351.006042480469,CT,-1644.12280273438,564.444580078125
-882.040405273438,-351.427459716797,CT,-1742.60302734375,513.355224609375
-882.040405273438,-351.427459716797,CT,-1751.80310058594,528.148010253906
-887.205200195312,-346.164184570312,CT,-1792.11962890625,541.669799804688
-501.091796875,-1178.58361816406,CT,-575.687805175781,235.458618164062
-501.091796875,-1178.58361816406,CT,-595.420166015625,234.373565673828
-501.091796875,-1178.58361816406,CT,-611.80029296875,233.158569335938
-3898.56860351562,-1520.09887695312,CT,-3567.599609375,-808.588317871094
-3898.66162109375,-1520.0517578125,CT,-3572.04370117188,-825.154724121094
-3539.49609375,-1878.67822265625,CT,-3854.65014648438,-1029.51733398438
-3939.36401367188,-1420.63806152344,CT,-3618.20043945312,-314.977813720703
-3939.36401367188,-1420.63806152344,CT,-3623.55200195312,-313.815979003906
-2903.14794921875,-880.000366210938,CT,-2294.01513671875,-1192.08349609375
-2548.73291015625,-1076.30529785156,CT,-2922.8828125,-880.012084960938
-2547.39624023438,-1072.63317871094,CT,-2922.15698242188,-880.012084960938
-2410.24951171875,-1145.36279296875,CT,-2203.45532226562,-581.731750488281
-2408.62768554688,-1145.96435546875,CT,-2204.5283203125,-581.33203125
-2406.56689453125,-1146.73583984375,CT,-2206.16821289062,-580.716247558594
-2404.74755859375,-1147.41320800781,CT,-2208.16137695312,-579.9619140625
-887.85302734375,-214.286361694336,CT,-1867.63549804688,-258.289459228516
-887.85302734375,-214.286361694336,CT,-1867.83764648438,-259.091278076172
-887.860778808594,-214.068161010742,CT,-1867.66735839844,-263.51220703125
-887.905456542969,-213.208053588867,CT,-1867.64038085938,-264.208801269531
-1559.99914550781,-380.165588378906,CT,-1716.09704589844,-881.138427734375
-1279.9541015625,37.7599143981934,CT,-1344.171875,13.6605091094971
-1281.70825195312,47.9466133117676,CT,-1338.73181152344,11.3033065795898
-1271.33959960938,-134.428482055664,CT,-1342.33142089844,17.7437000274658
-1634.37768554688,-2029.10998535156,CT,-1728.6484375,-1846.91845703125
-1634.65759277344,-2029.25085449219,CT,-1725.95251464844,-1849.44653320312
