attackerX,attackerY,victimSide,victimX,victimY
-690.51611328125,228.275650024414,T,-337.910705566406,-1270.0439453125
-714.166931152344,222.491394042969,T,-497.014282226562,-406.852172851562
-748.650146484375,211.117584228516,T,-493.599273681641,-361.25732421875
-1722.79223632812,-875.032165527344,T,-1093.17016601562,-608.567749023438
-1638.9638671875,-698.122314453125,T,-1072.11486816406,-598.940368652344
-1457.53198242188,119.104049682617,T,-963.043273925781,230.922836303711
-1453.15588378906,103.571723937988,T,-1008.9912109375,254.253463745117
-886.7041015625,-628.1982421875,T,-1058.10925292969,279.193084716797
-878.707824707031,-626.464294433594,T,-1111.34558105469,303.569305419922
-882.754089355469,-627.562683105469,T,-1125.3818359375,300.328063964844
-879.455322265625,-626.668212890625,T,-1187.89453125,454.943603515625
-879.455322265625,-626.668212890625,T,-1205.15783691406,450.776031494141
-2005.94592285156,644.930541992188,T,-1033.70861816406,275.635009765625
-2400.0126953125,-249.638870239258,T,-2421.86181640625,-508.563293457031
-2400.0126953125,-250.562896728516,T,-2420.74609375,-516.22998046875
-2400.0126953125,-250.593338012695,T,-2417.14526367188,-523.110595703125
-2408.490234375,-242.212265014648,T,-2383.66552734375,-513.580017089844
-2421.67578125,300.722045898438,T,-2298.4423828125,-509.281799316406
-2656.36547851562,930.899780273438,T,-3777.62182617188,-420.450653076172
-2436.69262695312,248.1865234375,T,-2219.71166992188,-528.058410644531
-2423.99829101562,250.232894897461,T,-2212.24365234375,-521.888244628906
-2421.50830078125,249.84846496582,T,-2215.85107421875,-521.544372558594
-2450.07275390625,205.393951416016,T,-2225.19067382812,-512.956848144531
-2434.40649414062,221.215972900391,T,-2224.66796875,-515.306823730469
-2364.82592773438,-70.2331237792969,T,-2230.56713867188,-538.359802246094
-2363.13012695312,-70.1141204833984,T,-2228.03466796875,-531.589477539062
-2357.96923828125,-68.7235870361328,T,-2231.64697265625,-530.370239257812
-2354.14404296875,-67.7042770385742,T,-2236.39013671875,-530.393188476562
-2354.77001953125,-67.9065628051758,T,-2238.9072265625,-530.605163574219
-2413.42993164062,217.894470214844,T,-2271.49658203125,-544.392395019531
-2312.03833007812,-92.4461898803711,T,-2274.9580078125,-545.510986328125
-2961.18920898438,737.130798339844,T,-3135.98095703125,539.962829589844
-2970.70654296875,744.860046386719,T,-3125.78857421875,560.343933105469
-2903.94506835938,-1449.01745605469,T,-2169.68896484375,-2167.76318359375
-2903.73095703125,-1435.51171875,T,-2183.70092773438,-2177.2529296875
-2906.23999023438,-1373.51416015625,T,-2202.65942382812,-2193.62915039062
-2685.7578125,-1579.92163085938,T,-2204.90600585938,-2195.52026367188
-2688.70434570312,-1585.15258789062,T,-2119.32592773438,-2161.59350585938
-2684.03735351562,-1580.56811523438,T,-2115.19213867188,-2157.26416015625
-2654.56274414062,-1306.45288085938,T,-2671.37060546875,-1783.67651367188
-2665.15161132812,-1306.5068359375,T,-2683.54760742188,-1780.18005371094
-2653.07055664062,-1307.14538574219,T,-2665.423828125,-1640.28002929688
-2640.07958984375,-1307.81567382812,T,-2667.134765625,-1631.26306152344
-2627.80810546875,-1362.53076171875,T,-2667.134765625,-1631.26306152344
-2627.80810546875,-1362.53076171875,T,-2708.31762695312,-1775.32360839844
-2635.68530273438,-1307.80249023438,T,-2716.00317382812,-1774.40905761719
-2659.666015625,-1359.74279785156,T,-2657.77880859375,-1628.04809570312
-2639.15185546875,-1307.28881835938,T,-2720.57543945312,-1773.72021484375
-2734.05908203125,-1495.126953125,T,-2445.8212890625,-2172.52319335938
-2614.31005859375,-1628.56823730469,T,-2426.46997070312,-2164.92065429688
-2607.98364257812,-1653.05126953125,T,-2430.32861328125,-2166.0341796875
-2599.75317382812,-1664.12109375,T,-2438.04833984375,-2168.59252929688
-1723.87805175781,-1086.54333496094,T,-1917.99694824219,-1895.96875
-1721.08740234375,-1088.42248535156,T,-1917.99694824219,-1895.96875
-2338.27319335938,-506.490966796875,T,-3099.86547851562,-1855.67663574219
-2915.66772460938,-1645.4375,T,-2861.48754882812,-1113.49938964844
-2915.6083984375,-1645.19946289062,T,-2858.69775390625,-1118.94555664062
-2915.6083984375,-1645.19946289062,T,-2855.21020507812,-1122.63623046875
-2915.6083984375,-1645.19946289062,T,-2852.32373046875,-1125.27954101562
-3171.96655273438,-828.034362792969,T,-3847.51025390625,-763.664916992188
-3171.96655273438,-828.034362792969,T,-3842.4501953125,-759.919677734375
-3171.96655273438,-828.034362792969,T,-3835.82421875,-764.065551757812
-3171.97094726562,-828.106384277344,T,-3837.5478515625,-770.418090820312
-3174.38232421875,-825.63330078125,T,-3589.2509765625,-810.416137695312
-3175.53833007812,-824.477600097656,T,-3589.64501953125,-809.161071777344
-3175.53833007812,-824.477600097656,T,-3589.42333984375,-801.504089355469
-3123.17822265625,406.187286376953,T,-3344.9619140625,44.687801361084
-3097.94506835938,350.090637207031,T,-3273.05517578125,75.0203399658203
-1841.63635253906,-244.259567260742,T,-873.066101074219,-248.717651367188
-1841.56652832031,-243.267700195312,T,-1101.908203125,-257.197143554688
-1841.58679199219,-238.423049926758,T,-1104.08227539062,-245.548583984375
-667.644409179688,143.472610473633,T,-520.234924316406,-391.898498535156
-613.041748046875,108.070579528809,T,-508.966094970703,-329.142364501953
-605.304565429688,99.8388061523438,T,-505.708465576172,-319.115142822266
